habitat,species,component,air_temp,sst,sub_surf_temp,water_temp,salinity,do,oa,slr,wave_action,upwelling,hab,precip_o,dessication_o,turbidity_o,currents_o,life_hist,dist_extent,pop_connect,dependencies,pop_status,plasticity_o,staff_capacity,sp_value,mpa_response,mpa_community,mandate,monitor_eval,flexibility,science_tech,proactive,average
deep_seafloor,cowcod,sensitivity,NA,NA,3,NA,1,3,2,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
deep_seafloor,cowcod,exposure,NA,NA,3,NA,1,3,1,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.71
deep_seafloor,cowcod,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,4,3,4,NA,2,4,3,3,4,1,4,5,4,3.43
deep_seafloor,lingcod,sensitivity,NA,2,3,NA,2,2,2,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.78
deep_seafloor,lingcod,exposure,NA,1,2,NA,1,2,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.56
deep_seafloor,lingcod,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,4,4,4,3,NA,2,4,3,3,4,2,4,5,4,3.57
deep_seafloor,cnidarian,sensitivity,NA,NA,4,NA,NA,3,4,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
deep_seafloor,cnidarian,exposure,NA,NA,3,NA,NA,4,4,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6
deep_seafloor,cnidarian,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,3,3,NA,2,4,3,3,4,1,4,4,3,2.93
deep_seafloor,sponge,sensitivity,NA,NA,4,NA,NA,3,1,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2
deep_seafloor,sponge,exposure,NA,NA,3,NA,NA,4,4,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6
deep_seafloor,sponge,adaptive_capacity,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,4,3,3,NA,2,4,3,3,4,1,4,4,3,2.93
kelp_forest,ca_sheephead,sensitivity,NA,2,2,NA,NA,NA,3,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2
kelp_forest,ca_sheephead,exposure,NA,5,5,NA,NA,NA,2,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.8
