habitat,species,component,score
pelagic,anchovy,sensitivity,4
pelagic,anchovy,exposure,3
pelagic,anchovy,adaptive_capacity,4
pelagic,anchovy,potential_impact,4
pelagic,anchovy,vulnerability,3
pelagic,sardine,sensitivity,4
pelagic,sardine,exposure,3
pelagic,sardine,adaptive_capacity,4
pelagic,sardine,potential_impact,4
pelagic,sardine,vulnerability,3
pelagic,white_shark,sensitivity,2
pelagic,white_shark,exposure,3
pelagic,white_shark,adaptive_capacity,3
pelagic,white_shark,potential_impact,2
pelagic,white_shark,vulnerability,2
pelagic,swordfish,sensitivity,2
pelagic,swordfish,exposure,3
pelagic,swordfish,adaptive_capacity,4
pelagic,swordfish,potential_impact,2
pelagic,swordfish,vulnerability,2
pelagic,brown_pelican,sensitivity,4
pelagic,brown_pelican,exposure,4
pelagic,brown_pelican,adaptive_capacity,3
pelagic,brown_pelican,potential_impact,4
pelagic,brown_pelican,vulnerability,4
pelagic,scripps_murrelet,sensitivity,5
pelagic,scripps_murrelet,exposure,4
pelagic,scripps_murrelet,adaptive_capacity,2
pelagic,scripps_murrelet,potential_impact,5
pelagic,scripps_murrelet,vulnerability,5
kelp_forest,ca_sheephead,sensitivity,3
kelp_forest,ca_sheephead,exposure,4
kelp_forest,ca_sheephead,adaptive_capacity,4
kelp_forest,ca_sheephead,potential_impact,4
kelp_forest,ca_sheephead,vulnerability,3
kelp_forest,kelp_bass,sensitivity,2
kelp_forest,kelp_bass,exposure,4
kelp_forest,kelp_bass,adaptive_capacity,4
kelp_forest,kelp_bass,potential_impact,3
kelp_forest,kelp_bass,vulnerability,2
kelp_forest,red_urchin,sensitivity,3
kelp_forest,red_urchin,exposure,3
kelp_forest,red_urchin,adaptive_capacity,4
kelp_forest,red_urchin,potential_impact,3
kelp_forest,red_urchin,vulnerability,2
kelp_forest,spiny_lobster,sensitivity,1
kelp_forest,spiny_lobster,exposure,4
kelp_forest,spiny_lobster,adaptive_capacity,4
kelp_forest,spiny_lobster,potential_impact,3
kelp_forest,spiny_lobster,vulnerability,2
kelp_forest,giant_kelp,sensitivity,4
kelp_forest,giant_kelp,exposure,4
kelp_forest,giant_kelp,adaptive_capacity,3
kelp_forest,giant_kelp,potential_impact,4
kelp_forest,giant_kelp,vulnerability,4
sandy_seafloor,eelgrass,sensitivity,4
sandy_seafloor,eelgrass,exposure,4
sandy_seafloor,eelgrass,adaptive_capacity,3
sandy_seafloor,eelgrass,potential_impact,4
sandy_seafloor,eelgrass,vulnerability,4
sandy_seafloor,ca_halibut,sensitivity,3
sandy_seafloor,ca_halibut,exposure,2
sandy_seafloor,ca_halibut,adaptive_capacity,3
sandy_seafloor,ca_halibut,potential_impact,2
sandy_seafloor,ca_halibut,vulnerability,2
sandy_seafloor,warty_sea_cuc,sensitivity,5
sandy_seafloor,warty_sea_cuc,exposure,3
sandy_seafloor,warty_sea_cuc,adaptive_capacity,3
sandy_seafloor,warty_sea_cuc,potential_impact,4
sandy_seafloor,warty_sea_cuc,vulnerability,4
sandy_seafloor,rock_crab_spp,sensitivity,4
sandy_seafloor,rock_crab_spp,exposure,3
sandy_seafloor,rock_crab_spp,adaptive_capacity,3
sandy_seafloor,rock_crab_spp,potential_impact,4
sandy_seafloor,rock_crab_spp,vulnerability,4
rocky_shore,golden_rockweed,sensitivity,4
rocky_shore,golden_rockweed,exposure,4
rocky_shore,golden_rockweed,adaptive_capacity,3
rocky_shore,golden_rockweed,potential_impact,4
rocky_shore,golden_rockweed,vulnerability,4
rocky_shore,black_abalone,sensitivity,4
rocky_shore,black_abalone,exposure,4
rocky_shore,black_abalone,adaptive_capacity,3
rocky_shore,black_abalone,potential_impact,4
rocky_shore,black_abalone,vulnerability,4
rocky_shore,ochre_sea_star,sensitivity,5
rocky_shore,ochre_sea_star,exposure,3
rocky_shore,ochre_sea_star,adaptive_capacity,3
rocky_shore,ochre_sea_star,potential_impact,4
rocky_shore,ochre_sea_star,vulnerability,4
rocky_shore,ca_mussel,sensitivity,5
rocky_shore,ca_mussel,exposure,4
rocky_shore,ca_mussel,adaptive_capacity,4
rocky_shore,ca_mussel,potential_impact,5
rocky_shore,ca_mussel,vulnerability,4
deep_seafloor,cowcod,sensitivity,2
deep_seafloor,cowcod,exposure,2
deep_seafloor,cowcod,adaptive_capacity,4
deep_seafloor,cowcod,potential_impact,2
deep_seafloor,cowcod,vulnerability,2
deep_seafloor,lingcod,sensitivity,2
deep_seafloor,lingcod,exposure,3
deep_seafloor,lingcod,adaptive_capacity,4
deep_seafloor,lingcod,potential_impact,2
deep_seafloor,lingcod,vulnerability,2
deep_seafloor,cnidarian,sensitivity,3
deep_seafloor,cnidarian,exposure,3
deep_seafloor,cnidarian,adaptive_capacity,2
deep_seafloor,cnidarian,potential_impact,3
deep_seafloor,cnidarian,vulnerability,4
deep_seafloor,sponge,sensitivity,3
deep_seafloor,sponge,exposure,3
deep_seafloor,sponge,adaptive_capacity,2
deep_seafloor,sponge,potential_impact,3
deep_seafloor,sponge,vulnerability,4
sandy_beach,pac_sand_crab,sensitivity,3
sandy_beach,pac_sand_crab,exposure,4
sandy_beach,pac_sand_crab,adaptive_capacity,3
sandy_beach,pac_sand_crab,potential_impact,3
sandy_beach,pac_sand_crab,vulnerability,3
